"Zip_Code","City","State","Population","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz","No_Diploma_Rank","Vacancy_Rank","No_Job_Rank","Poverty_Rank","Med_Inc_Rank","Chg_Job_Rank","Chg_Biz_Rank","Avg_Rank","DCI_Rank","DCI_Percentile"
"Z01001","Agawam","MA",17438,8.5,3.7,23.2,7.4,87.7,9.7,4.8,8879,3417,7658,5760,15595,9774,9967,8721.42857142857,6141,23.5
"Z01002","Amherst","MA",29780,4.40000000000001,7.2,23.4,32.9,73.7,18.2,2.3,2835,11102,7930,24665,20961,5842,12394,12247,11828,45.3
"Z01005","Barre","MA",5201,4.3,15.3,17.5,5.3,100.3,23.3,3.3,2696,22740,2192,3195,10785,4433,11383,8203.42857142857,5401,20.7
"Z01007","Belchertown","MA",14838,7.59999999999999,0.5,19,9.2,112.1,6.59999999999999,2.8,7479,498,3229,8120,7392,11612,11919,7178.42857142857,3889,14.9
"Z01008","Blandford","MA",1171,4.2,8.9,20.1,3.8,102.7,-31.5,-10,2589,14558,4305,1651,10027,22615,22698,11206.1428571429,10096,38.6
"Z01010","Brimfield","MA",3695,6,5,14.4,3.2,128.3,-25.3,-5.09999999999999,4985,6041,816,1118,4437,22168,20182,8535.28571428571,5857,22.4
"Z01011","Chester","MA",1506,8.2,12.2,25.2,7.6,99.2,-17.9,-18.8,8445,19771,10029,6058,11171,21336,24650,14494.2857142857,15853,60.7
"Z01012","Chesterfield","MA",539,3.8,10.9,24.4,10.9,83.2,-43.8,-15.4,2147,17956,9106,10386,17442,23118,24143,14899.7142857143,16501,63.2
"Z01013","Chicopee","MA",22394,19,8.5,30.1,17,59.5,-9.5,-3.7,20405,13945,15099,17212,24305,19698,19130,18542,22117,84.7
"Z01020","Chicopee","MA",30952,12.9,5.4,25.3,9.9,81.2,18.9,2.5,14960,7075,10085,9093,18249,5610,12192,11037.7142857143,9839,37.7
"Z01022","Chicopee","MA",2840,4.59999999999999,14.6,24.2,22.3,75.1,-28.4,-6.2,3086,22244,8886,21164,20509,22410,20904,17029,20013,76.6
"Z01026","Cummington","MA",1036,2.8,4,27.9,5.6,73.8,-43.1,35.3,1205,3880,12925,3622,20900,23102,1042,9525.14285714286,7415,28.4
"Z01027","Easthampton","MA",17787,5.2,3.5,21.6,8.6,85.1,-3.09999999999999,9.2,3839,2977,5866,7370,16690,17297,6523,8651.71428571429,6044,23.1
"Z01028","East Longmeadow","MA",16017,5.5,3.8,16.1,5.6,119.1,-6.59999999999999,-0.799999999999997,4255,3553,1403,3545,5888,18751,16726,7731.57142857143,4719,18.1
"Z01029","East Otis","MA",717,6,1.1,34.7,14.9,65,95.6,16.7,4986,635,18857,15143,23297,496,3303,9531,7426,28.4
"Z01030","Feeding Hills","MA",11250,6.2,1.7,24.2,10.1,91.9,24.8,10.4,5285,939,8760,9353,13940,4066,5810,6879,3519,13.5
"Z01031","Gilbertville","MA",1369,9.59999999999999,15.4,35.7,25.2,58,-18.1,0,10607,22820,19626,22574,24520,21367,15560,19582,23431,89.7
"Z01032","Goshen","MA",611,5.40000000000001,3.8,12.8,3.9,95.7,2,4.5,4114,3549,469,1707,12477,14573,10266,6736.42857142857,3354,12.8
"Z01033","Granby","MA",6304,6.5,2.7,19.3,4.2,127.2,31,9.3,5712,1832,3501,2023,4587,2956,6433,3863.42857142857,615,2.4
"Z01034","Granville","MA",2190,5.5,6.5,20.9,10,119.1,74.7,6.90000000000001,4256,9513,5104,9191,5900,758,8177,6128.42857142857,2554,9.8
"Z01035","Hadley","MA",5324,3.90000000000001,6.8,13.7,6.8,95.7,11.4,5.3,2245,10148,655,4963,12479,8859,9535,6983.42857142857,3641,13.9
"Z01036","Hampden","MA",5179,5.3,0,18.9,5.2,118.2,36.7,4.3,3985,153,3143,3071,6068,2295,10388,4157.57142857143,765,2.9
"Z01037","Hardwick","MA",731,2.8,0,27.6,10.8,130,NA,30.8,1206,84,12574,10282,4220,NA,1352,4953,1365,5.2
"Z01038","Hatfield","MA",2794,1.7,0,9.2,6,97.1,-18.3,19.3,471,58,100,3986,11953,21394,2725,5812.42857142857,2184,8.4
"Z01039","Haydenville","MA",1236,3.7,11,24.6,6.8,103.8,-11.9,-8.59999999999999,2037,18095,9345,5044,9683,20273,22117,12370.5714285714,12043,46.1
"Z01040","Holyoke","MA",40342,22.7,8.2,35.3,28.8,53.4,0.0999999999999943,-2.09999999999999,22551,13353,19314,23808,25047,15626,17741,19634.2857142857,23487,89.9
"Z01050","Huntington","MA",2513,7.7,6.8,21.7,9.3,91.1,56.3,23.1,7649,10212,6024,8261,14243,1154,2095,7091.14285714286,3786,14.5
"Z01053","Leeds","MA",1772,9.59999999999999,1.9,40.8,20.4,87.4,29.7,-6.5,10608,1112,22430,19987,15765,3148,20987,13433.8571428571,13955,53.4
"Z01054","Leverett","MA",1993,5.09999999999999,3.2,19.9,7.7,121.5,15.1,-3,3704,2502,4039,6132,5514,7080,18507,6782.57142857143,3414,13.1
"Z01056","Ludlow","MA",21348,16.1,4.8,26.8,4.9,92.7,10.7,1.5,18204,5714,11705,2824,13652,9230,13215,10649.1428571429,9168,35.1
