Zip_Code,City,State,Population,No_Diploma,Vacancy,No_Job,Poverty,Med_Inc,Chg_Job,Chg_Biz,No_Diploma_Rank,Vacancy_Rank,No_Job_Rank,Poverty_Rank,Med_Inc_Rank,Chg_Job_Rank,Chg_Biz_Rank,Avg_Rank,DCI,Rank_Label
Z80238,Denver,CO,13194,0.5,1.4,14.7,3,213.2,46.8,43.4,181,244,969,953,342,1823,512,717.7142857,1,Prosperous
Z33473,Boynton Beach,FL,9189,1.1,1.7,19.4,0.8,283.8,100,93.6,283,421,3587,193,44,526,76,732.8571429,2,Prosperous
Z03856,Newfields,NH,1618,2.1,1.2,10.6,1.7,177.2,52.6,20.5,693,176,246,351,924,1493,2154,862.4285714,3,Prosperous
Z68430,Roca,NE,1448,2.1,0.8,7.1,4.8,176.1,68,34.9,734,53,75,2543,956,1021,804,883.7142857,4,Prosperous
Z68022,Elkhorn,NE,19763,3,1.9,13.5,2.8,184.4,67.4,30.2,1416,573,684,818,769,1034,1120,916.2857143,5,Prosperous
Z80109,Castle Rock,CO,19152,2.2,1.3,18.4,2.5,179.7,92.3,40.9,803,207,2761,682,864,635,574,932.2857143,6,Prosperous
Z64157,Kansas City,MO,18548,2.4,1.7,13,1.5,214.2,30,40,942,432,574,298,329,3399,598,938.8571429,7,Prosperous
Z60585,Plainfield,IL,23306,2.7,2.9,14.4,0.9,215.4,61.1,25.7,1164,1522,873,205,313,1183,1456,959.4285714,8,Prosperous
Z58047,Horace,ND,3802,3.6,1.4,13.3,1.1,173,58.8,26.6,1974,259,620,238,1043,1250,1406,970,9,Prosperous
Z03033,Brookline,NH,5100,2.1,0.7,16.8,1.1,161.5,99.6,20.6,692,40,1761,239,1476,563,2137,986.8571429,10,Prosperous
Z68135,Omaha,NE,27671,1,2.5,13,2.3,194.1,34.7,23,261,1055,576,559,588,2776,1829,1092,11,Prosperous
Z20148,Ashburn,VA,38831,1.8,4,15.6,1.6,254.3,43.8,69.7,548,3303,1281,328,116,1997,159,1104.571429,12,Prosperous
Z75035,Frisco,TX,56427,3.9,1.8,17,3.5,211.2,61.2,58.1,2295,513,1876,1345,360,1180,263,1118.857143,13,Prosperous
Z76250,Lindsay,TX,954,3.2,1.4,9.6,0.1,157.1,30,41.2,1616,256,171,148,1713,3401,571,1125.142857,14,Prosperous
Z50111,Grimes,IA,11100,3.4,1.5,10.4,2.7,161.8,40.4,27.4,1782,303,225,774,1456,2247,1328,1159.285714,15,Prosperous
Z68028,Gretna,NE,11814,2.3,3.1,14.4,3.9,171.9,61.6,37.1,867,1798,875,1665,1080,1160,717,1166,16,Prosperous
Z66227,Lenexa,KS,4730,1.6,0.7,15.1,3.6,166.2,52.9,18.5,463,38,1108,1416,1267,1480,2567,1191.285714,17,Prosperous
Z52333,Solon,IA,6476,1.4,0.9,9.8,3,171.2,46.3,13.5,383,83,182,947,1099,1855,3984,1219,18,Prosperous
Z85045,Phoenix,AZ,7381,1.7,0.4,18.4,2.5,239.4,32.7,24.2,525,9,2758,681,168,3054,1701,1270.857143,19,Prosperous
Z80129,Littleton,CO,29228,1.7,1.9,16.6,2.8,171.8,40.6,20.2,523,567,1674,827,1081,2232,2179,1297.571429,20,Prosperous
Z03861,Lee,NH,4363,1.9,3.2,12.8,2,142.3,40.9,33.3,577,1932,530,437,2689,2208,899,1324.571429,21,Prosperous
Z76244,Keller,TX,69564,3.6,3.8,18,2.8,175.1,268.2,143.1,1989,2960,2514,834,985,97,13,1341.714286,22,Prosperous
Z60502,Aurora,IL,23749,4,2.2,16.1,2.7,186.5,50.4,23.4,2405,801,1454,789,728,1579,1775,1361.571429,23,Prosperous
Z20169,Haymarket,VA,22604,3.5,2.7,18.1,2.6,225.5,63,23.7,1855,1291,2563,741,233,1125,1741,1364.142857,24,Prosperous
Z50261,Van Meter,IA,2526,1.4,1.1,10.2,5.6,163.9,34.4,28.6,381,143,211,3433,1366,2814,1235,1369,25,Prosperous
Z80454,Indian Hills,CO,1322,2.9,3.5,15.6,2.2,136.3,137.3,41.7,1334,2413,1278,506,3247,323,560,1380.142857,26,Prosperous
Z57324,Cavour,SD,358,1.1,4,10.8,3.1,123.2,220,100,291,3296,270,1017,4908,134,47,1423.285714,27,Prosperous
Z92808,Anaheim,CA,20449,3.9,2,17.6,3.1,180.6,84.5,20.3,2317,650,2234,1038,841,731,2174,1426.428571,28,Prosperous
Z80516,Erie,CO,22817,3.1,1.8,17.2,2.5,183.1,50.8,16.6,1516,504,1972,673,780,1561,3073,1439.857143,29,Prosperous
Z21029,Clarksville,MD,11802,1.8,2.3,15.4,1.9,244.3,89.9,8.8,549,876,1203,406,150,668,6249,1443,30,Prosperous
Z68526,Lincoln,NE,5676,1.6,3.9,15.8,2.3,214.2,27,46.9,467,3120,1339,565,330,3948,441,1458.571429,31,Prosperous
