"Zip_Code","City","State","Population","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz","No_Diploma_Rank","Vacancy_Rank","No_Job_Rank","Poverty_Rank","Med_Inc_Rank","Chg_Job_Rank","Chg_Biz_Rank","Avg_Rank","DCI"
"Z01001","Agawam","MA",17438,8.5,3.7,23.2,7.4,87.7,9.7,4.8,8657,2861,7481,5592,14764,10264,9315,8419.14285714286,5795
"Z01002","Amherst","MA",29780,4.40000000000001,7.2,23.4,32.9,73.7,18.2,2.3,2787,10238,7737,23370,19834,6244,11665,11696.4285714286,11163
"Z01005","Barre","MA",5201,4.3,15.3,17.5,5.3,100.3,23.3,3.3,2648,21274,2222,3108,10202,4784,10689,7846.71428571429,5002
"Z01007","Belchertown","MA",14838,7.59999999999999,0.5,19,9.2,112.1,6.59999999999999,2.8,7303,24,3234,7806,6989,12144,11201,6957.28571428571,3661
"Z01008","Blandford","MA",1171,4.2,8.9,20.1,3.8,102.7,-31.5,-10,2541,13538,4269,1613,9495,23527,21545,10932.5714285714,9876
"Z01009","Bondsville","MA",429,21.8,20,35.8,34.5,59.6,19.3,14.3,21051,23343,18925,23609,22950,5906,3678,17066,20228
"Z01010","Brimfield","MA",3695,6,5,14.4,3.2,128.3,-25.3,-5.09999999999999,4891,5390,878,1100,4193,23035,19167,8379.14285714286,5741
"Z01011","Chester","MA",1506,8.2,12.2,25.2,7.6,99.2,-17.9,-18.8,8232,18457,9764,5874,10567,22139,23357,14055.7142857143,15407
"Z01012","Chesterfield","MA",539,3.8,10.9,24.4,10.9,83.2,-43.8,-15.4,2112,16748,8857,9955,16509,24110,22874,14452.1428571429,16070
"Z01013","Chicopee","MA",22394,19,8.5,30.1,17,59.5,-9.5,-3.7,19500,12947,14603,16483,22955,20418,18162,17866.8571428571,21243
"Z01020","Chicopee","MA",30952,12.9,5.4,25.3,9.9,81.2,18.9,2.5,14438,6397,9818,8741,17261,6002,11466,10589,9316
"Z01022","Chicopee","MA",2840,4.59999999999999,14.6,24.2,22.3,75.1,-28.4,-6.2,3030,20802,8650,20157,19395,23294,19849,16453.8571428571,19332
"Z01026","Cummington","MA",1036,2.8,4,27.9,5.6,73.8,-43.1,35.3,1197,3312,12545,3530,19773,24092,791,9320,7269
"Z01027","Easthampton","MA",17787,5.2,3.5,21.6,8.6,85.1,-3.09999999999999,9.2,3784,2439,5764,7097,15794,17939,6018,8405,5773
"Z01028","East Longmeadow","MA",16017,5.5,3.8,16.1,5.6,119.1,-6.59999999999999,-0.799999999999997,4181,2991,1469,3453,5572,19433,15810,7558.42857142857,4548
"Z01029","East Otis","MA",717,6,1.1,34.7,14.9,65,95.6,16.7,4892,154,18142,14528,22004,598,2947,9037.85714285714,6777
"Z01030","Feeding Hills","MA",11250,6.2,1.7,24.2,10.1,91.9,24.8,10.4,5178,453,8531,8983,13185,4411,5337,6582.57142857143,3190
"Z01031","Gilbertville","MA",1369,9.59999999999999,15.4,35.7,25.2,58,-18.1,0,10299,21356,18866,21462,23159,22172,15036,18907.1428571429,22440
"Z01032","Goshen","MA",611,5.40000000000001,3.8,12.8,3.9,95.7,2,4.5,4043,2987,531,1661,11797,15142,9609,6538.57142857143,3145
"Z01033","Granby","MA",6304,6.5,2.7,19.3,4.2,127.2,31,9.3,5608,1326,3503,1966,4331,3255,5930,3702.71428571429,544
"Z01034","Granville","MA",2190,5.5,6.5,20.9,10,119.1,74.7,6.90000000000001,4182,8710,5025,8834,5583,885,7595,5830.57142857143,2253
"Z01035","Hadley","MA",5324,3.90000000000001,6.8,13.7,6.8,95.7,11.4,5.3,2211,9322,723,4819,11798,9329,8894,6728,3369
"Z01039","Haydenville","MA",1236,3.7,11,24.6,6.8,103.8,-11.9,-8.59999999999999,2008,16878,9084,4893,9166,21028,20978,12005,11686
"Z01040","Holyoke","MA",40342,22.7,8.2,35.3,28.8,53.4,0.0999999999999943,-2.09999999999999,21464,12388,18586,22593,23646,16196,16811,18812,22334
"Z01050","Huntington","MA",2513,7.7,6.8,21.7,9.3,91.1,56.3,23.1,7464,9385,5920,7934,13474,1339,1805,6760.14285714286,3414
"Z01053","Leeds","MA",1772,9.59999999999999,1.9,40.8,20.4,87.4,29.7,-6.5,10300,615,21448,19055,14914,3457,19922,12815.8571428571,13195
"Z01054","Leverett","MA",1993,5.09999999999999,3.2,19.9,7.7,121.5,15.1,-3,3655,1980,4015,5944,5203,7497,17558,6550.28571428571,3152
"Z01056","Ludlow","MA",21348,16.1,4.8,26.8,4.9,92.7,10.7,1.5,17476,5074,11367,2750,12901,9713,12470,10250.1428571429,8732
"Z01057","Monson","MA",8712,8.3,3.9,23.5,8.8,99.4,-8.5,-6.8,8383,3224,7807,7357,10519,20115,20130,11076.4285714286,10120
"Z01060","Northampton","MA",15229,4.59999999999999,5.5,22.6,19,75.3,3.3,0.799999999999997,3031,6491,6816,18028,19323,14298,13134,11588.7142857143,10999
