"Zip_Code","City","State","Pop","Minority_Pct","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz","UTSA_DCI","EIG_Distress_Score","Distress_Diff","EIG_Rank","UTSA_Rank","Rank_Diff"
"Z01037","Hardwick","MA",1,12,0,0,0,0,0,0,0,5.2,4.2,1,1085,1354,269
"Z01092","West Warren","MA",1,0.2,0,0,0,0,0,0,0,77.2,81.9,-4.7,21389,20178,-1211
"Z03856","Newfields","NH",-2,3.8,0,0,0,0,0,0,0,0,0,0,6,7,1
"Z04270","Oxford","ME",-2,2.4,0,0,0,0,0,0,0,58.5,58.4,0.100000000000001,15259,15288,29
"Z05403","South Burlington","VT",-1,12.9,0,0,0,0,0,0,0,15.2,16,-0.800000000000001,4182,3975,-207
"Z07206","Elizabethport","NJ",-2,91.1,0,0,0,0,0,0,0,93.2,93.5,-0.299999999999997,24428,24343,-85
"Z07828","Budd Lake","NJ",4,32.2,0,0,0,0,0,0,0,8.3,8.2,0.100000000000001,2143,2169,26
"Z08030","Gloucester City","NJ",0,22.2,0,0,0,0,0,0,0,80.8,81.7,-0.900000000000006,21346,21116,-230
"Z08087","Tuckerton","NJ",4,9.4,0,0,0,0,0,0,0,38.8,38.6,0.199999999999996,10084,10136,52
"Z10507","Bedford Hills","NY",4,43.8,0,0,0,0,0,0,0,64.6,64.6,0,16874,16868,-6
"Z10706","Hastings On Hudson","NY",3,16.9,0,0,0,0,0,0,0,5.4,5.6,-0.199999999999999,1463,1417,-46
"Z11375","Forest Hills","NY",3,45.6,0,0,0,0,0,0,0,13.5,13.2,0.300000000000001,3456,3524,68
"Z12033","Castleton On Hudson","NY",2,4,0,0,0,0,0,0,0,18.2,18.1,0.0999999999999979,4737,4747,10
"Z12173","Stuyvesant","NY",-5,6.9,0,0,0,0,0,0,0,43.1,43.3,-0.199999999999996,11311,11266,-45
"Z13162","Verona Beach","NY",-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Z14086","Lancaster","NY",4,4.3,0,0,0,0,0,0,0,9.7,9.8,-0.100000000000001,2563,2538,-25
"Z14478","Keuka Park","NY",-2,11.2,0,0,0,0,0,0,0,5.6,5.7,-0.100000000000001,1492,1453,-39
"Z14728","Dewittville","NY",-2,0.3,0,0,0,0,0,0,0,59.5,60.7,-1.2,15868,15541,-327
"Z15825","Brookville","PA",4,3.3,0,0,0,0,0,0,0,51.2,51.1,0.100000000000001,13352,13376,24
"Z16056","Saxonburg","PA",-1,1.9,0,0,0,0,0,0,0,35.6,36.4,-0.799999999999997,9519,9309,-210
"Z16679","Six Mile Run","PA",-3,0.4,0,0,0,0,0,0,0,80.6,80.7,-0.100000000000009,21080,21055,-25
"Z16686","Tyrone","PA",3,2.1,0,0,0,0,0,0,0,42.9,42.6,0.299999999999997,11122,11216,94
"Z17036","Hummelstown","PA",2,16.4,0,0,0,0,0,0,0,10,9.9,0.0999999999999996,2579,2611,32
"Z17527","Gap","PA",0,5.3,0,0,0,0,0,0,0,38.6,38.6,0,10091,10072,-19
"Z18655","Shickshinny","PA",1,1.9,0,0,0,0,0,0,0,63.7,63.5,0.200000000000003,16587,16646,59
"Z18840","Sayre","PA",-3,2.8,0,0,0,0,0,0,0,45.3,44.9,0.399999999999999,11742,11835,93
"Z19060","Garnet Valley","PA",-2,12.8,0,0,0,0,0,0,0,0,0,0,4,5,1
"Z19063","Media","PA",-1,14.1,0,0,0,0,0,0,0,12.3,12.5,-0.199999999999999,3256,3221,-35
"Z19319","Cheyney","PA",0,48.2,0,0,0,0,0,0,0,0,0,0,5,12,7
"Z19960","Lincoln","DE",3,41.2,0,0,0,0,0,0,0,81.9,82.6,-0.699999999999989,21568,21395,-173
"Z20001","Washington","DC",1,65.5,0,0,0,0,0,0,0,35.4,35.5,-0.100000000000001,9272,9243,-29
"Z20715","Bowie","MD",-3,44.3,0,0,0.100000000000001,0,0,0,0,4.3,4.3,0,1128,1123,-5
"Z20877","Gaithersburg","MD",4,73,0,0,0,0,0,0,0,53.6,54.5,-0.899999999999999,14228,13994,-234
"Z21120","Parkton","MD",-3,5.8,0,0,-0.0999999999999979,0,0,0,0,4.9,5.1,-0.199999999999999,1324,1281,-43
"Z21795","Williamsport","MD",1,5.8,0,0,0,0,0,0,0,31.4,30.9,0.5,8078,8198,120
"Z23038","Columbia","VA",-1,37.8,0,0,0,0,0,0,0,90.1,90,0.0999999999999943,23522,23535,13
"Z23093","Louisa","VA",4,26.3,0,0,0,0,0,0,0,68.1,69,-0.900000000000006,18016,17786,-230
"Z25043","Clay","WV",3,1.5,0,0,0,0,0,0,0,96.9,97,-0.0999999999999943,25352,25317,-35
"Z25443","Shepherdstown","WV",2,13.7,0,0,0,0,0,0,0,32.7,32.4,0.300000000000004,8454,8550,96
"Z27018","East Bend","NC",-2,12.9,0,0,0,0,0,0,0,80.1,80.4,-0.300000000000011,21011,20926,-85
"Z28398","Warsaw","NC",-1,66.3,0,0,0,0,0,0,0,92.3,92.6,-0.299999999999997,24183,24109,-74
"Z28433","Clarkton","NC",-5,52,0,0,0,0,0,0,0,83.8,83.8,0,21896,21883,-13
"Z28771","Robbinsville","NC",-2,12.8,0,0,0.100000000000001,0,0,0,0,91.6,92.1,-0.5,24071,23929,-142
"Z29905","Parris Island","SC",-2,39.7,0,0,0,0,0,0,0,23.5,36.9,-13.4,9647,6152,-3495
"Z30040","Cumming","GA",-3,21.9,0,0,0,0,0,0,0,14.3,14.2,0.100000000000001,3710,3730,20
"Z30306","Atlanta","GA",-1,15.2,0,0,0.100000000000001,0,0,0,0,11.4,11.5,-0.0999999999999996,2995,2989,-6
"Z30329","Atlanta","GA",-3,59.7,0,0,0.0999999999999979,0,0,0,0,58.9,59.4,-0.5,15517,15384,-133
"Z30646","Hull","GA",2,20.6,0,0,0,0,0,0,0,67.2,66.8,0.400000000000006,17455,17551,96
"Z30660","Rayle","GA",4,40.1,0,0,0,0,0,0,0,88.9,89.7,-0.799999999999997,23442,23222,-220
"Z31824","Preston","GA",-4,58.2,0,0,0,0,0,0,0,69.7,69.1,0.600000000000009,18041,18201,160
"Z32003","Fleming Island","FL",0,16.9,0,0,0,0,0,0,0,2.3,2.4,-0.1,615,608,-7
"Z32305","Tallahassee","FL",-4,64.2,0,0,0,0,0,0,0,85.3,85.5,-0.200000000000003,22348,22282,-66
"Z33025","Hollywood","FL",4,88.5,0,0,0,0,0,0,0,18.3,18.1,0.199999999999999,4733,4779,46
"Z33134","Miami","FL",0,79.6,0,0,0,0,0,0,0,25.5,25.3,0.199999999999999,6607,6656,49
"Z33145","Miami","FL",2,89.6,0,0,0,0,0,0,0,53.9,53.5,0.399999999999999,13977,14074,97
"Z33433","Boca Raton","FL",-3,27,0,0,0,0,0,0,0,18.5,18.6,-0.100000000000001,4849,4842,-7
"Z33442","Deerfield Beach","FL",-3,28.3,0,0,0,0,0,0,0,31.8,31.6,0.199999999999999,8258,8310,52
