City,State,No_of_Zip_Codes,Sum_Population,Mean_No_Diploma,Mean_Vacancy,Mean_No_Job,Mean_Poverty,Mean_Med_Inc,Mean_Chg_Job,Mean_Chg_Biz,Mean_DCI_Percentile,Mean_White,Mean_Hispanic,Mean_Black,Mean_Asian,Mean_Mixed_Other,Sum_Area_Land,Sum_Area_Water
Houston,TX,95,3061078,23.84736842,10.28421053,27.26421053,20.87052632,101.8010526,17.16526316,7.013684211,54.08105263,31.11052632,38.18315789,22.88421053,6.216842105,1.605263158,829.811,17.269
Los Angeles,CA,60,2422217,27.98833333,6.855,30.23166667,25.69166667,76.82333333,11.72666667,8.413333333,59.09,24.77,45.79333333,15.80833333,10.56333333,3.065,214.266,1.372
San Antonio,TX,58,1684473,18.01551724,8.64137931,30.05,18.7137931,102.95,16.46551724,11.43793103,50.53965517,37.58103448,50.80517241,7.920689655,1.586206897,2.106896552,884.449,11.698
Miami,FL,54,1820704,18.76296296,8.55,28.87222222,18.77592593,107.8425926,19.49074074,13.32222222,46.01111111,22.10555556,53.62592593,20.49814815,1.533333333,2.237037037,489.232,37.806
Bronx,NY,25,1430052,28.212,6.844,34.212,28.692,66.744,13.704,8.388,65.22,19.556,46.392,28.54,2.556,2.956,40.433,0.374
Fresno,CA,18,588307,27.06666667,6.722222222,37.47777778,30.15555556,72.05,10.88333333,6.566666667,68.6,37.05555556,41.25,6.155555556,9.9,5.638888889,393.217,1.574
Albuquerque,NM,17,653086,11.45882353,7.217647059,31.38823529,19.64117647,111.4941176,13.12352941,10.78823529,50.24705882,50.86470588,40.08235294,2.188235294,1.694117647,5.170588235,573.552,5.382
Corpus Christi,TX,17,317093,23.55882353,9.229411765,34.21764706,18.87058824,87.87058824,18.91764706,4.170588235,58.98823529,32.22352941,57.68235294,7.494117647,0.952941176,1.647058824,264.006,41.613
Riverside,CA,8,438804,20.9625,6.5375,31.1625,18.15,99.9625,12.9125,7.0625,51.9,46.7375,37.6,6.6875,4.825,4.15,149.501,5.208
Anaheim,CA,7,362709,21.85714286,4.2,25,14.48571429,111.8714286,26.68571429,6.771428571,40.07142857,39.88571429,41.75714286,2.042857143,12.94285714,3.371428571,47.655,1.046
Chula Vista,CA,5,252469,15.18,5.96,28.24,10.22,133.36,22.34,14.82,31.76,35.16,41.92,4.82,14.32,3.78,48.043,0.99
