Zip_Code,Housing_Units,Occupied_Units,Vacant_Units
Z00601,7318,5972,1346
Z00602,17220,12968,4252
Z00603,24596,18674,5922
Z00606,2630,1915,715
Z00610,12159,9404,2755
Z00612,29848,22971,6877
Z00616,4654,3636,1018
Z00617,9863,8352,1511
Z00622,8565,2557,6008
Z00623,21096,14558,6538
Z00624,9529,8216,1313
Z00627,14076,11934,2142
Z00631,791,657,134
Z00637,10701,7088,3613
Z00638,7536,6018,1518
Z00641,12604,9540,3064
Z00646,15924,12360,3564
Z00647,3477,1791,1686
Z00650,5730,5017,713
Z00652,1826,1390,436
Z00653,5863,3664,2199
Z00656,8423,6612,1811
Z00659,16821,14337,2484
Z00660,7559,6418,1141
Z00662,19518,14620,4898
Z00664,6295,4846,1449
Z00667,12213,8494,3719
Z00669,11686,9735,1951
Z00670,3925,3163,762
Z00674,18935,16090,2845
Z00676,15772,12356,3416
Z00677,9538,5451,4087
Z00678,11087,9584,1503
Z00680,26986,19352,7634
Z00682,15155,11636,3519
Z00683,14893,11921,2972
Z00685,17751,13794,3957
Z00687,11612,9788,1824
Z00688,5061,4203,858
Z00690,2779,2147,632
Z00692,15203,11803,3400
Z00693,25236,17837,7399
Z00694,181,49,132
Z00698,17092,10422,6670
Z00703,10872,8968,1904
Z00704,3911,3024,887
Z00705,9850,8614,1236
Z00707,5286,4086,1200
Z00714,8548,6265,2283
Z00715,1477,1263,214
Z00716,13822,11763,2059
Z00717,9044,6995,2049
Z00718,11476,8718,2758
Z00719,10926,8837,2089
Z00720,8361,6821,1540
Z00723,8838,6436,2402
Z00725,37012,31555,5457
Z00727,23106,20561,2545
Z00728,16142,13692,2450
Z00729,20050,16611,3439
Z00730,15628,12582,3046
Z00731,5576,4765,811
Z00735,7502,4663,2839
Z00736,21223,17629,3594
Z00738,17745,12194,5551
Z00739,14792,12621,2171
Z00740,896,565,331
Z00741,2086,1639,447
Z00745,23520,17053,6467
Z00751,10451,8349,2102
Z00754,16436,13595,2841
Z00757,9316,7727,1589
Z00765,4964,2711,2253
Z00766,9354,8094,1260
Z00767,14765,12205,2560
Z00769,16258,13493,2765
Z00771,15537,12805,2732
Z00772,9258,6829,2429
Z00773,10471,6788,3683
Z00775,1459,515,944
Z00777,15989,13106,2883
Z00778,17486,15306,2180
Z00780,5153,4408,745
Z00782,7171,5991,1180
Z00783,12923,10863,2060
Z00784,18170,14753,3417
Z00786,172,130,42
Z00791,24585,16890,7695
Z00794,11211,9424,1787
Z00795,18248,15836,2412
Z00901,4534,2612,1922
Z00906,163,51,112
Z00907,13149,8519,4630
Z00909,3490,2574,916
Z00911,5752,3820,1932
Z00912,3566,2437,1129
Z00913,4120,3267,853
Z00915,15419,11578,3841
Z00917,11348,8161,3187
Z00918,10360,7930,2430
Z00920,9294,7278,2016
Z00921,17341,14156,3185
Z00923,13486,10550,2936
Z00924,24291,19890,4401
Z00925,4917,2976,1941
Z00926,45881,38019,7862
Z00927,7615,5925,1690
Z00934,100,47,53
Z00936,13,0,13
Z00949,31733,26693,5040
Z00950,0,0,0
Z00951,23,15,8
Z00952,3936,3113,823
Z00953,25240,22190,3050
Z00956,31246,26424,4822
Z00957,18242,15329,2913
Z00959,21962,18772,3190
Z00960,0,0,0
Z00961,13271,11460,1811
Z00962,8497,7334,1163
Z00965,3672,2974,698
Z00966,7321,6380,941
Z00968,2305,1885,420
Z00969,17573,15671,1902
Z00971,12091,10334,1757
Z00976,25512,21587,3925
Z00979,12536,7751,4785
Z00982,7001,5850,1151
Z00983,16836,14719,2117
Z00985,14812,12860,1952
Z00987,24297,21444,2853
Z01001,7452,7103,349
Z01002,10483,9541,942
Z01003,29,29,0
Z01005,2164,1812,352
Z01007,5932,5716,216
Z01008,596,505,91
Z01009,230,184,46
Z01010,1641,1484,157
Z01011,688,552,136
Z01012,331,245,86
Z01013,10065,9196,869
Z01020,13298,12571,727
Z01022,1435,1226,209
Z01026,501,457,44
Z01027,8355,7960,395
Z01028,6291,6039,252
Z01029,1113,314,799
Z01030,4462,4385,77
Z01031,696,575,121
Z01032,369,278,91
Z01033,2457,2344,113
Z01034,1170,805,365
Z01035,2483,2288,195
Z01036,1972,1917,55
Z01037,284,264,20
Z01038,1310,1256,54
Z01039,638,568,70
Z01040,16776,15324,1452
Z01050,1208,959,249
Z01053,592,571,21
Z01054,856,824,32
Z01056,8539,8093,446
Z01057,3739,3534,205
Z01060,6927,6467,460
Z01062,4654,4446,208
Z01063,0,0,0
Z01066,10,10,0
Z01068,691,668,23
Z01069,3842,3500,342
Z01070,310,243,67
Z01071,584,516,68
Z01072,754,635,119
Z01073,2532,2484,48
Z01074,103,83,20
Z01075,7258,6933,325
Z01077,3898,3566,332
Z01079,297,262,35
Z01080,1044,917,127
Z01081,836,689,147
Z01082,4675,4268,407
Z01083,1315,1180,135
Z01084,95,72,23
Z01085,16358,15190,1168
Z01086,0,0,0
Z01088,303,290,13
Z01089,12174,11495,679
Z01092,614,560,54
Z01093,143,133,10
Z01094,198,185,13
Z01095,5591,5415,176
Z01096,1076,993,83
Z01097,10,10,0
Z01098,629,514,115
Z01103,1708,1412,296
Z01104,9437,8784,653
Z01105,5733,4844,889
Z01106,6051,5765,286
Z01107,4284,3923,361
Z01108,10846,9716,1130
Z01109,10790,9379,1411
Z01118,5928,5543,385
Z01119,4938,4730,208
Z01128,1016,997,19
Z01129,3117,2923,194
Z01151,3701,3303,398
Z01199,0,0,0
Z01201,21831,19894,1937
Z01220,4354,3838,516
Z01222,345,345,0
Z01223,2064,1018,1046
Z01224,86,77,9
Z01225,1555,1374,181
Z01226,3186,2843,343
Z01229,91,61,30
Z01230,4388,3281,1107
Z01235,1602,1214,388
Z01236,660,524,136
Z01237,1518,976,542
Z01238,3248,2492,756
Z01240,2916,2306,610
Z01242,179,144,35
Z01243,210,177,33
Z01244,99,63,36
Z01245,859,417,442
Z01247,8135,7069,1066
Z01253,525,302,223
Z01254,587,440,147
Z01255,698,353,345
Z01256,359,337,22
Z01257,1229,950,279
Z01258,348,179,169
Z01259,438,260,178
Z01260,154,144,10
Z01262,991,574,417
Z01264,137,66,71
Z01266,1125,661,464
Z01267,3085,2381,704
Z01270,446,316,130
Z01301,8399,7850,549
Z01330,808,622,186
Z01331,6302,5341,961
Z01337,1195,1122,73
Z01338,100,79,21
Z01339,798,595,203
Z01340,944,716,228
Z01341,795,688,107
Z01342,503,484,19
Z01343,34,27,7
Z01344,675,626,49
Z01346,414,210,204
Z01347,66,66,0
Z01349,501,446,55
Z01350,61,50,11
Z01351,993,939,54
Z01354,622,569,53
Z01355,426,418,8
Z01360,1388,1234,154
Z01364,3704,3302,402
Z01366,563,496,67
Z01367,318,247,71
Z01368,608,515,93
Z01370,1964,1768,196
Z01373,2129,1914,215
Z01375,1574,1528,46
Z01376,2469,2252,217
Z01378,476,337,139
Z01379,396,376,20
Z01420,17031,14842,2189
Z01430,2748,2216,532
Z01431,1130,1048,82
Z01432,3537,3308,229
Z01434,160,160,0
Z01436,1328,1299,29
Z01438,233,233,0
Z01440,9183,8156,1027
Z01450,4243,3992,251
Z01451,1683,1652,31
Z01452,1751,1592,159
Z01453,17847,16784,1063
Z01460,3691,3446,245
Z01462,4567,4287,280
Z01463,4451,4247,204
Z01464,2462,2331,131
Z01467,153,113,40
Z01468,1876,1612,264
Z01469,2648,2547,101
Z01473,3051,2779,272
Z01474,856,729,127
Z01475,4511,3948,563
Z01501,6616,6267,349
Z01503,1163,1078,85
Z01504,3628,3333,295
Z01505,1751,1618,133
Z01506,1514,1390,124
Z01507,4913,4744,169
Z01510,6211,5644,567
Z01515,895,827,68
Z01516,3290,3100,190
Z01518,1364,1213,151
Z01519,2416,2360,56
Z01520,5513,5178,335
Z01521,1443,998,445
Z01522,1245,1139,106
Z01523,2389,2261,128
Z01524,2802,2623,179
Z01525,73,73,0
Z01527,5487,5162,325
Z01529,1127,1061,66
Z01531,423,392,31
Z01532,5253,5108,145
Z01534,2323,2137,186
Z01535,2204,1820,384
Z01536,2966,2743,223
Z01537,932,828,104
Z01540,4444,4220,224
Z01541,1307,1252,55
Z01542,798,773,25
Z01543,3194,2898,296
Z01545,13758,12839,919
Z01550,7466,6762,704
Z01560,1901,1705,196
Z01561,96,58,38
Z01562,5281,4656,625
Z01564,2821,2748,73
Z01566,2624,2396,228
Z01568,2912,2633,279
Z01569,5006,4824,182
Z01570,7653,6669,984
Z01571,4384,4037,347
Z01581,7337,6992,345
Z01583,2240,2143,97
Z01585,2072,1880,192
Z01588,4003,3752,251
Z01590,3372,3093,279
Z01602,9655,9179,476
