"Zip_Code","City","State","Population","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz"
"Z01001","Agawam","MA",17438,8.5," 3.7",23.2,7.4,87.7,9.7,4.8
"Z01002","Amherst","MA",29780,4.40000000000001," 7.2",23.4,32.9,73.7,18.2,2.3
"Z01005","Barre","MA",5201,4.3,"15.3",17.5,5.3,100.3,23.3,3.3
"Z01007","Belchertown","MA",14838,7.59999999999999," 0.5",19,9.2,112.1,6.59999999999999,2.8
"Z01008","Blandford","MA",1171,4.2," 8.9",20.1,3.8,102.7,-31.5,-10
"Z01009","Bondsville","MA",429,21.8,"20.0",35.8,34.5,59.6,19.3,14.3
"Z01010","Brimfield","MA",3695,6," 5.0",14.4,3.2,128.3,-25.3,-5.09999999999999
"Z01011","Chester","MA",1506,8.2,"12.2",25.2,7.6,99.2,-17.9,-18.8
"Z01012","Chesterfield","MA",539,3.8,"10.9",24.4,10.9,83.2,-43.8,-15.4
"Z01013","Chicopee","MA",22394,19," 8.5",30.1,17,59.5,-9.5,-3.7
"Z01020","Chicopee","MA",30952,12.9," 5.4",25.3,9.9,81.2,18.9,2.5
"Z01022","Chicopee","MA",2840,4.59999999999999,"14.6",24.2,22.3,75.1,-28.4,-6.2
"Z01026","Cummington","MA",1036,2.8," 4.0",27.9,5.6,73.8,-43.1,35.3
"Z01027","Easthampton","MA",17787,5.2," 3.5",21.6,8.6,85.1,-3.09999999999999,9.2
"Z01028","East Longmeadow","MA",16017,5.5," 3.8",16.1,5.6,119.1,-6.59999999999999,-0.799999999999997
"Z01029","East Otis","MA",717,6," 1.1",34.7,14.9,65,95.6,16.7
"Z01030","Feeding Hills","MA",11250,6.2," 1.7",24.2,10.1,91.9,24.8,10.4
"Z01031","Gilbertville","MA",1369,9.59999999999999,"15.4",35.7,25.2,58,-18.1,0
"Z01032","Goshen","MA",611,5.40000000000001," 3.8",12.8,3.9,95.7,2,4.5
"Z01033","Granby","MA",6304,6.5," 2.7",19.3,4.2,127.2,31,9.3
"Z01034","Granville","MA",2190,5.5," 6.5",20.9,10,119.1,74.7,6.90000000000001
"Z01035","Hadley","MA",5324,3.90000000000001," 6.8",13.7,6.8,95.7,11.4,5.3
"Z01036","Hampden","MA",5179,5.3," 0.0",18.9,5.2,118.2,36.7,4.3
"Z01038","Hatfield","MA",2794,1.7," 0.0",9.2,6,97.1,-18.3,19.3
"Z01039","Haydenville","MA",1236,3.7,"11.0",24.6,6.8,103.8,-11.9,-8.59999999999999
"Z01040","Holyoke","MA",40342,22.7," 8.2",35.3,28.8,53.4,0.0999999999999943,-2.09999999999999
"Z01050","Huntington","MA",2513,7.7," 6.8",21.7,9.3,91.1,56.3,23.1
"Z01053","Leeds","MA",1772,9.59999999999999," 1.9",40.8,20.4,87.4,29.7,-6.5
"Z01054","Leverett","MA",1993,5.09999999999999," 3.2",19.9,7.7,121.5,15.1,-3
"Z01056","Ludlow","MA",21348,16.1," 4.8",26.8,4.9,92.7,10.7,1.5
"Z01057","Monson","MA",8712,8.3," 3.9",23.5,8.8,99.4,-8.5,-6.8
"Z01060","Northampton","MA",15229,4.59999999999999," 5.5",22.6,19,75.3,3.3,0.799999999999997
"Z01062","Florence","MA",11029,6.3," 4.1",24.6,14.3,99.1,13.7,3.8
"Z01068","Oakham","MA",1803,6.90000000000001," 2.0",23.2,5.7,117.1,-40.4,-10.3
"Z01069","Palmer","MA",8976,10.2," 6.3",26.6,6.3,79,-0.5,0.799999999999997
"Z01070","Plainfield","MA",565,5.59999999999999," 2.9",19.3,9.9,81.6,-52.4,-22.2
"Z01071","Russell","MA",1318,6.3," 8.7",16.9,2.5,107.4,-30.4,-13
"Z01072","Shutesbury","MA",1465,4.7," 8.1",19,9.9,101,-28.6,18.8
"Z01073","Southampton","MA",6022,7.3," 1.9",14.2,5.4,116.5,14.4,9.8
"Z01074","South Barre","MA",247,14.6," 0.0",14.6,0,85.6,6.2,12.5
"Z01075","South Hadley","MA",17781,7.7," 3.2",22.4,9.9,87.9,6.3,1
"Z01077","Southwick","MA",9640,9.7," 5.9",20.1,5.4,117.3,8,-1.8
"Z01079","Thorndike","MA",593,5.3,"11.8",24.8,14.5,62.5,71.4,0
"Z01080","Three Rivers","MA",2286,12.6,"12.2",38.7,27.4,62.6,8,-4.8
"Z01081","Wales","MA",1720,7.40000000000001," 8.6",30.7,5.9,73.5,14,16.7
"Z01082","Ware","MA",10460,8.90000000000001," 6.0",24.7,14.7,72.2,-2.5,-4.09999999999999
"Z01083","Warren","MA",2960,9.3," 9.3",34.7,8.8,60.7,-74.4,-22
"Z01085","Westfield","MA",41509,8.59999999999999," 6.5",22.3,9.4,89.8,3.59999999999999,3.59999999999999
"Z01088","West Hatfield","MA",493,10.2," 2.3",27.1,14.8,90.1,67.9,27.3
"Z01089","West Springfield","MA",28600,11.5," 5.6",26.3,10.9,79.6,2.5,2.59999999999999
"Z01093","Whately","MA",307,6.09999999999999," 7.0",22.3,5.2,119.8,13.1,3.2
"Z01095","Wilbraham","MA",14514,6," 1.6",18,4.1,131.7,16.5,-2.59999999999999
"Z01096","Williamsburg","MA",2494,6.09999999999999," 2.3",20.2,7.8,103.5,50.4,18.6
"Z01098","Worthington","MA",1149,10.5," 3.0",24.5,6.5,106.4,-8.8,-31
"Z01103","Springfield","MA",2564,37,"16.0",63,56.5,22.7,-7.8,-12.3
"Z01104","Springfield","MA",23485,25.4," 6.8",38.9,29.4,42.1,-9,-3.59999999999999
"Z01105","Springfield","MA",12027,39.7,"15.3",58.4,55.2,24.6,28.5,4.2
"Z01106","Longmeadow","MA",16007,4.3," 2.9",19.6,4.5,160.2,15.7,6.90000000000001
"Z01107","Springfield","MA",11224,46.5," 8.2",51.2,45.1,32.5,7.59999999999999,0
"Z01108","Springfield","MA",27342,23.4," 9.9",37.6,30.7,51.2,-3.90000000000001,0.400000000000006
"Z01109","Springfield","MA",30541,22.1,"13.1",42.9,32.1,49.3,4.5,-9.3
"Z01118","Springfield","MA",14453,10.6," 5.9",22.2,12.4,86.4,-0.5,-8.5
"Z01119","Springfield","MA",13269,18.2," 3.3",31.2,16.6,69.6,7.8,2.2
"Z01128","Springfield","MA",2498,6.90000000000001," 1.9",21.4,2,100.8,-0.5,4
"Z01129","Springfield","MA",7377,13," 6.0",20.4,13.1,89,-6.2,-12
"Z01151","Indian Orchard","MA",9037,19.2,"10.5",29.2,32.5,48.7,17.3,14.2
"Z01201","Pittsfield","MA",45328,10.2," 7.1",28,16.8,64.9,2.8,0.400000000000006
"Z01220","Adams","MA",8391,10.4,"10.6",23.4,9.7,67.4,1.3,-6.09999999999999
"Z01223","Becket","MA",2294,7.5," 5.8",21.3,7.1,96.3,-12.7,-24
"Z01224","Berkshire","MA",138,6.90000000000001," 0.0",32.4,16.7,53.1,-28.1,0
"Z01225","Cheshire","MA",3124,6.09999999999999," 6.4",25.5,5.5,81.3,-10.7,1.90000000000001
"Z01226","Dalton","MA",6892,4,"10.4",22.3,14.5,69,-25.9,-9.5
"Z01230","Great Barrington","MA",8048,9.5," 5.9",21,9,83,-1.59999999999999,-5.3
"Z01236","Housatonic","MA",1538,2.90000000000001," 7.0",20.6,1.2,102.3,2.8,31.2
"Z01237","Lanesborough","MA",2841,7.3,"10.3",22.6,4,107.4,-17.9,-9.8
"Z01238","Lee","MA",5950,8.7," 4.8",18.4,10.7,87.4,-0.799999999999997,-4.5
"Z01240","Lenox","MA",4603,5.40000000000001," 3.7",32.1,13.9,71.7,11.8,2
"Z01243","Middlefield","MA",374,2.2," 2.9",12.3,5.1,107.6,-6.7,0
"Z01245","Monterey","MA",950,2," 0.7",25.2,10.8,79.2,12.5,-15.4
"Z01247","North Adams","MA",15737,14.1,"11.6",31.1,17,59,-7,-3.5
"Z01253","Otis","MA",708,8.09999999999999," 4.0",17.8,5.1,100.4,3.90000000000001,6.90000000000001
"Z01254","Richmond","MA",954,3.8," 6.1",23.8,6.2,126.8,10.5,-11.8
"Z01255","Sandisfield","MA",852,12.6," 4.6",26.3,5.3,85.9,14.7,-4.5
"Z01256","Savoy","MA",796,12.9," 3.6",25.9,8.1,77.4,16.7,0
"Z01257","Sheffield","MA",2203,9.5," 4.5",22.2,15.4,68.8,14.2,-1.8
"Z01258","South Egremont","MA",334,0.299999999999997," 4.0",15.3,2.7,96.6,61.1,-7.90000000000001
"Z01260","South Lee","MA",485,30.7," 6.5",37.5,2.7,109.2,-39.2,-20
"Z01262","Stockbridge","MA",1239,14.7," 2.6",17.8,15.6,60.4,54.1,-2.5
"Z01266","West Stockbridge","MA",1430,2.5,"11.6",23.4,5.7,115.5,-8.8,-17.9
"Z01267","Williamstown","MA",7884,6.90000000000001,"13.5",18.1,10.3,106.6,0.700000000000003,-2.7
"Z01270","Windsor","MA",789,3.40000000000001," 8.3",24.6,5.4,103.9,22.2,0
"Z01301","Greenfield","MA",17766,8.5," 6.1",24.7,14.1,72.6,-2,-1.59999999999999
"Z01330","Ashfield","MA",1432,2.40000000000001," 3.8",12.2,7.2,110,9.90000000000001,5.7
"Z01331","Athol","MA",13290,12.6,"10.7",32.5,15.2,75.6,-2.59999999999999,1.5
"Z01337","Bernardston","MA",2593,6.09999999999999," 4.2",15.5,6.4,91.8,29.8,0
"Z01339","Charlemont","MA",1378,7.5,"12.0",29.6,10.9,80.1,32.8,-9.40000000000001
"Z01341","Conway","MA",1711,1.5," 4.4",14,3.7,113.4,-5.40000000000001,-8
"Z01342","Deerfield","MA",1616,3.2," 3.8",16.4,8.2,148.2,5.8,0
"Z01346","Heath","MA",496,5.5," 6.8",28,11.6,82,25,50
"Z01349","Millers Falls","MA",1078,12," 7.2",20.6,4.6,90.4,-60.7,0
"Z01351","Montague","MA",2212,3.09999999999999," 4.7",21.5,10.7,106.5,-5.8,3.09999999999999
"Z01354","Gill","MA",1641,3.8," 4.7",15.6,10.3,107.6,207.6,19
"Z01360","Northfield","MA",3022,5.2," 4.6",19,4.3,92.6,9.7,4.5
"Z01364","Orange","MA",7880,13.4," 7.7",37.3,13.9,57.3,1.40000000000001,-3
"Z01366","Petersham","MA",1167,2.09999999999999," 6.6",25.5,2.4,92.8,-21.1,19.2
"Z01367","Rowe","MA",666,11.1," 8.8",16.6,19,77.1,-34,-25
"Z01370","Shelburne Falls","MA",3990,6.8," 5.2",24.6,8.2,80.3,-18.4,9.2
"Z01373","South Deerfield","MA",4355,3.5," 8.1",21.2,6.5,98.5,0.799999999999997,-5.59999999999999
"Z01375","Sunderland","MA",3680,7.3," 2.9",21.4,21.2,69.6,15.5,-3.90000000000001
"Z01376","Turners Falls","MA",5275,16.4," 8.2",32.4,20,61.1,-6.40000000000001,-7.5
