Zip_Code,Housing_Units,Total_Vacant,For_rent,Rented_not_oc,For_sale,Sale_not_oc,Seasonal,Migrant_worker,Other_vacant
Z01001,7452,349,70,0,0,0,71,0,208
Z01002,10483,942,49,272,121,47,183,0,270
Z01005,2164,352,124,0,45,0,20,0,163
Z01007,5932,216,0,0,28,0,188,0,0
Z01008,596,91,0,0,0,0,38,0,53
Z01009,230,46,0,0,0,14,0,0,32
Z01010,1641,157,0,0,10,0,75,0,72
Z01011,688,136,7,0,23,8,52,0,46
Z01012,331,86,3,0,19,0,50,0,14
Z01013,10065,869,198,13,64,0,10,0,584
Z01020,13298,727,93,0,219,30,14,0,371
Z01022,1435,209,0,0,0,40,0,0,169
Z01026,501,44,0,0,9,0,24,0,11
Z01027,8355,395,134,15,6,26,103,0,111
Z01028,6291,252,67,8,0,0,10,0,167
Z01029,1113,799,0,0,8,0,787,0,4
Z01030,4462,77,8,0,0,31,0,0,38
Z01031,696,121,39,0,12,0,14,0,56
Z01032,369,91,9,0,0,0,77,0,5
Z01033,2457,113,0,0,0,0,47,0,66
Z01034,1170,365,8,0,3,9,289,0,56
Z01035,2483,195,28,0,9,0,26,0,132
Z01036,1972,55,0,0,0,0,55,0,0
Z01038,1310,54,0,0,0,0,54,0,0
Z01039,638,70,13,0,21,0,0,0,36
Z01040,16776,1452,290,6,124,39,76,0,917
Z01050,1208,249,33,0,15,9,167,0,25
Z01053,592,21,0,0,0,0,10,0,11
Z01054,856,32,0,0,9,0,5,0,18
Z01056,8539,446,112,26,47,63,34,0,164
Z01057,3739,205,0,0,0,0,59,0,146
Z01060,6927,460,130,41,54,65,82,0,88
Z01062,4654,208,105,0,0,0,17,0,86
Z01068,691,23,0,0,0,0,9,0,14
Z01069,3842,342,54,68,0,0,101,0,119
Z01070,310,67,0,0,9,0,58,0,0
Z01071,584,68,0,0,0,0,17,0,51
Z01072,754,119,10,0,28,0,58,0,23
Z01073,2532,48,0,0,48,0,0,0,0
Z01074,103,20,0,0,0,0,20,0,0
Z01075,7258,325,42,0,130,0,90,0,63
Z01077,3898,332,0,0,73,0,102,0,157
Z01079,297,35,0,0,35,0,0,0,0
Z01080,1044,127,71,0,0,0,0,0,56
Z01081,836,147,0,0,19,0,75,0,53
Z01082,4675,407,83,23,19,0,125,0,157
Z01083,1315,135,22,26,23,0,13,0,51
Z01085,16358,1168,479,32,138,0,99,0,420
Z01088,303,13,0,0,7,0,6,0,0
Z01089,12174,679,182,171,80,0,0,0,246
Z01093,143,10,0,0,0,0,0,0,10
Z01095,5591,176,0,0,78,0,84,0,14
Z01096,1076,83,14,0,0,0,58,0,11
Z01098,629,115,0,0,12,3,96,0,4
Z01103,1708,296,102,0,39,0,22,0,133
Z01104,9437,653,276,0,71,0,13,0,293
Z01105,5733,889,386,64,0,0,13,0,426
Z01106,6051,286,0,29,105,0,112,0,40
Z01107,4284,361,27,0,55,0,8,0,271
Z01108,10846,1130,333,0,65,23,57,0,652
Z01109,10790,1411,278,72,99,0,0,0,962
Z01118,5928,385,0,0,26,0,34,0,325
Z01119,4938,208,74,0,0,0,44,0,90
Z01128,1016,19,0,0,19,0,0,0,0
Z01129,3117,194,80,0,33,0,8,0,73
Z01151,3701,398,73,23,40,18,8,0,236
Z01201,21831,1937,456,193,267,0,394,0,627
Z01220,4354,516,44,0,78,0,54,0,340
Z01223,2064,1046,0,0,29,16,927,0,74
Z01224,86,9,0,0,0,0,9,0,0
Z01225,1555,181,0,0,49,0,81,0,51
Z01226,3186,343,108,0,65,0,13,0,157
Z01230,4388,1107,0,9,72,0,848,0,178
Z01236,660,136,2,0,0,17,90,0,27
Z01237,1518,542,0,0,16,0,385,0,141
Z01238,3248,756,2,0,1,10,599,0,144
Z01240,2916,610,97,0,11,0,502,0,0
Z01243,210,33,0,0,0,0,27,0,6
Z01245,859,442,0,0,3,0,436,0,3
Z01247,8135,1066,142,0,57,0,124,0,743
Z01253,525,223,9,0,0,0,202,0,12
Z01254,587,147,0,0,18,0,111,0,18
Z01255,698,345,0,0,7,0,313,0,25
Z01256,359,22,0,0,0,0,9,0,13
Z01257,1229,279,0,0,0,0,224,0,55
Z01258,348,169,0,0,0,0,155,0,14
Z01260,154,10,0,0,0,0,0,0,10
Z01262,991,417,0,0,5,11,391,0,10
Z01266,1125,464,13,9,18,7,334,0,83
Z01267,3085,704,110,17,15,16,286,0,260
Z01270,446,130,0,0,6,12,93,0,19
Z01301,8399,549,163,0,63,0,37,0,286
Z01330,808,186,0,0,8,0,155,0,23
Z01331,6302,961,123,0,88,17,288,0,445
Z01337,1195,73,14,0,6,0,23,0,30
Z01339,798,203,26,0,19,8,107,0,43
Z01341,795,107,9,0,9,0,72,0,17
Z01342,503,19,0,0,0,19,0,0,0
Z01346,414,204,0,0,7,0,176,0,21
