Zip_Code,Place Name,State Abbreviation,State,County,Pop_2011_2015
Z01001,Agawam,MA,Massachusetts,Hampden,17438
Z01002,Amherst,MA,Massachusetts,Hampshire,29780
Z01003,Amherst,MA,Massachusetts,Hampshire,11241
Z01005,Barre,MA,Massachusetts,Worcester,5201
Z01007,Belchertown,MA,Massachusetts,Hampshire,14838
Z01008,Blandford,MA,Massachusetts,Hampden,1171
Z01009,Bondsville,MA,Massachusetts,Hampden,429
Z01010,Brimfield,MA,Massachusetts,Hampden,3695
Z01011,Chester,MA,Massachusetts,Hampden,1506
Z01012,Chesterfield,MA,Massachusetts,Hampshire,539
Z01013,Chicopee,MA,Massachusetts,Hampden,22394
Z01020,Chicopee,MA,Massachusetts,Hampden,30952
Z01022,Chicopee,MA,Massachusetts,Hampden,2840
Z01026,Cummington,MA,Massachusetts,Hampshire,1036
Z01027,Easthampton,MA,Massachusetts,Hampshire,17787
Z01028,East Longmeadow,MA,Massachusetts,Hampden,16017
Z01029,East Otis,MA,Massachusetts,Berkshire,717
Z01030,Feeding Hills,MA,Massachusetts,Hampden,11250
Z01031,Gilbertville,MA,Massachusetts,Worcester,1369
Z01032,Goshen,MA,Massachusetts,Hampshire,611
Z01033,Granby,MA,Massachusetts,Hampshire,6304
Z01034,Granville,MA,Massachusetts,Hampden,2190
Z01035,Hadley,MA,Massachusetts,Hampshire,5324
Z01036,Hampden,MA,Massachusetts,Hampden,5179
Z01037,Hardwick,MA,Massachusetts,Worcester,731
Z01038,Hatfield,MA,Massachusetts,Hampshire,2794
Z01039,Haydenville,MA,Massachusetts,Hampshire,1236
Z01040,Holyoke,MA,Massachusetts,Hampden,40342
Z01050,Huntington,MA,Massachusetts,Hampshire,2513
Z01053,Leeds,MA,Massachusetts,Hampshire,1772
Z01054,Leverett,MA,Massachusetts,Franklin,1993
Z01056,Ludlow,MA,Massachusetts,Hampden,21348
Z01057,Monson,MA,Massachusetts,Hampden,8712
Z01060,Northampton,MA,Massachusetts,Hampshire,15229
Z01062,Florence,MA,Massachusetts,Hampshire,11029
